"YEAR";"TABLE";"LINK";"PATH";"DATE"
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_MA.zip";"outputs/2019/ANS/original/ben201901_MA.csv";2019-07-29 13:05:09
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_MG.zip";"outputs/2019/ANS/original/ben201901_MG.csv";2019-07-29 13:05:26
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_MS.zip";"outputs/2019/ANS/original/ben201901_MS.csv";2019-07-29 13:05:28
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_MT.zip";"outputs/2019/ANS/original/ben201901_MT.csv";2019-07-29 13:05:31
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_PA.zip";"outputs/2019/ANS/original/ben201901_PA.csv";2019-07-29 13:05:33
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_PB.zip";"outputs/2019/ANS/original/ben201901_PB.csv";2019-07-29 13:05:35
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_PE.zip";"outputs/2019/ANS/original/ben201901_PE.csv";2019-07-29 13:05:40
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_PI.zip";"outputs/2019/ANS/original/ben201901_PI.csv";2019-07-29 13:05:41
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_PR.zip";"outputs/2019/ANS/original/ben201901_PR.csv";2019-07-29 13:05:51
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_RJ.zip";"outputs/2019/ANS/original/ben201901_RJ.csv";2019-07-29 13:06:04
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_RN.zip";"outputs/2019/ANS/original/ben201901_RN.csv";2019-07-29 13:06:06
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_RO.zip";"outputs/2019/ANS/original/ben201901_RO.csv";2019-07-29 13:06:07
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_RR.zip";"outputs/2019/ANS/original/ben201901_RR.csv";2019-07-29 13:06:07
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_RS.zip";"outputs/2019/ANS/original/ben201901_RS.csv";2019-07-29 13:06:16
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_SC.zip";"outputs/2019/ANS/original/ben201901_SC.csv";2019-07-29 13:06:22
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_SE.zip";"outputs/2019/ANS/original/ben201901_SE.csv";2019-07-29 13:06:24
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_SP.zip";"outputs/2019/ANS/original/ben201901_SP.csv";2019-07-29 13:07:18
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_TO.zip";"outputs/2019/ANS/original/ben201901_TO.csv";2019-07-29 13:07:19
"2019";"ANS";"http://ftp.dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios/201901/ben201901_XX.zip";"outputs/2019/ANS/original/ben201901_XX.csv";2019-07-29 13:07:19
